Paragraph,Section,Category_ID,Agreement_name
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between TRIFACTA INC a Delaware corporation with an office at 575 Market St 11th Floor San Francisco California 94105 Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 75024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s Insight Tool for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,18-5789 ( REv B) Ericsson Trifacta Trial Agreement 6.28.18 FINAL
THIS AMENDMENT ONE TO TRIAL AGREEMENT the Amendment One dated as of March 1 2010 the Amendment One Effective Date is between TATARA SYSTEMS INC Company and ERICSSON INC Ericsson,Summary,0,Amendment 1 to Trial Agreement 2010
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between Radwin Ltd an Israeli corporation Company having a place of business at 27 Habarzel Street Tel Aviv 69710 Israel and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 USA Ericsson WHEREAS Ericsson and Company desires to jointly install test and demonstrate Company s NLOS Sub 6 GHz Backhaul Solution Backhaul Solution for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement Trial,Summary,0,Radwin Trial Agreement (signed) 9-26-12
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between Roambee Corporation a Delaware corporation Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 75024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s shipment and asset tracking solution for use with Ericsson s supply chain network and or Ericsson s customers supply chain networks in accordance with the terms and conditions of this Agreement,Summary,0,Roambee Corporation_Paid Trial Agreement_(21126) (Eff. 06.14.19)
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between Roambee Corporation a Delaware corporation Company and ERICSSON INC a Delaware corporation having a place of business at 6300 Legacy Dr Plano Texas 75024 Ericsson WHEREAS Ericsson and Company desire to jointly install test and support Company s shipment and asset tracking solution for use with Ericsson s supply chain network and or Ericsson s customers supply chain networks in accordance with the terms and conditions of this Agreement,Summary,0,Roambee Corporation_Paid Trial Agreement_(22084) (Eff. 01.22.20)
THIS TRIAL AGREEMENT this Agreement effective as of November 6 2009 the Effective Date is entered into by and between Tatara Systems Inc a Delaware corporation Company and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Ericsson and Company desires to jointly install test and support Company s Tatara Convergent Server TCS for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,Tatara Systems Trial Agmt. 110609 (signed)
THIS AMENDMENT ONE TO THE TRIAL AGREEMENT the Amendment One effective as of the date of last signature below the Amendment One Effective Date is between TEKTRONIX TEXAS LLC Tektronix or Company and ERICSSON INC Ericsson WITNESSETRH WHEREAS Company and Ericsson entered into a Trial Agreement dated April 29 2011 the Agreement and now desire to amend the Agreement in certain respects,Summary,0,"Tektronix Texas LLC - Amendment 1 to Trial Agreement (fully executed), effective 2-10-12"
THIS TRIAL AGREEMENT this Agreement effective as of the date of last signature below the Effective Date is entered into by and between Tektronix Texas LLC a Delaware limited liability company Company and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Ericsson and Company desires to jointly install test and support products for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,"Tektronix Trial Agreement (fully executed), effective 4-29-11"
THIS TRIAL AGREEMENT this Agreement effective as of June 1 2007 the Effective Date is entered into by and between Teleca USA Inc a California corporation Company having a place of business at 740 E Campbell Road Suite 900 Richardson TX 75081 and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Ericsson and Company desires to jointly install test and support Company s Push fo Talk client application Application for use with Ericsson s network and or Ericsson s customers networks in accordance with the terms and conditions of this Agreement,Summary,0,Teleca USA Inc Trial Agreement 060107 signed
THIS TRIAL AGREEMENT this Agreement effective as of September 21 2006 the Effective Date is entered into by and between Telmap Ltd an Israeli corporation Company and Ericsson Inc a Delaware corporation having a place of business at 6300 Legacy Dr Plano TX 75024 Ericsson WHEREAS Ericsson desires to install and test Company s Location Based Products for use with Ericsson s network and or Ericsson s customers networks and Company has agreed to provide such systems and support the testing by Ericsson all in accordance with the terms and conditions of this Agreement,Summary,0,Telmap Trial Agr executed (original)
